slice,n,hit_rate,avg_margin,near_miss_pct,avg_ml_prob
MLB|ALL,3543,0.3152695455828394,-0.49689528648038384,0.0,0.47639565340107254
MLB|HIT,1117,1.0,1.6078782452999105,0.0,0.6142728737690243
MLB|MISS,2426,0.0,-1.4659934047815333,0.0,0.4129130255564715
MLB|HIT|strong_ml,420,1.0,1.9142857142857144,0.0,0.921347857142857
NBA|ALL,1207,0.4490472245236123,-0.4352941176470589,0.0008285004142502071,
NBA|HIT,542,1.0,3.677121771217712,0.0018450184501845018,
NBA|MISS,665,0.0,-3.7870676691729317,0.0,
NBA1Q|ALL,154,0.4155844155844156,-0.24675324675324675,0.0,0.4280642857142857
NBA1Q|HIT,64,1.0,2.0703125,0.0,0.508853125
NBA1Q|MISS,90,0.0,-1.8944444444444444,0.0,0.37061444444444436
NBA1Q|HIT|strong_ml,2,1.0,1.0,0.0,0.6622
NHL|ALL,25,0.2,-1.34,0.0,0.20464
NHL|HIT,5,1.0,0.7,0.0,0.21600000000000003
NHL|MISS,20,0.0,-1.85,0.0,0.20179999999999998
TENNIS|ALL,216,0.16666666666666666,-3.875,0.0,0.3858083333333333
TENNIS|HIT,36,1.0,6.097222222222222,0.0,0.5996499999999998
TENNIS|MISS,180,0.0,-5.8694444444444445,0.0,0.34304
TENNIS|HIT|strong_ml,25,1.0,6.74,0.0,0.7202959999999998
WNBA|ALL,967,0.4332988624612203,-0.6610134436401242,0.0,0.5687669079627714
WNBA|HIT,419,1.0,3.8463007159904534,0.0,0.6103610978520287
WNBA|MISS,548,0.0,-4.107299270072993,0.0,0.5369640510948905
WNBA|HIT|strong_ml,210,1.0,4.1761904761904765,0.0,0.797787619047619
