slate_date,prop,bet_direction,n_rows,n_void,n_rows_ex_demon,n_void_ex_demon,n_decided,n_decided_ex_demon,n_hit,line_min,line_q25,line_median,line_q75,line_max,line_mean,n_line_present,void_rate,void_rate_ex_demon,hit_rate,decided_rate
2026-03-17,Assists,OVER,169,114,41,25,55,16,43,0.5,0.5,1.5,2.5,5.5,1.7366863905325445,169,0.6745562130177515,0.6097560975609756,0.7818181818181819,0.3254437869822485
2026-03-17,Points,OVER,429,289,192,125,140,67,126,0.5,3.5,5.5,7.5,14.5,5.2377622377622375,429,0.6736596736596736,0.6510416666666666,0.9,0.32634032634032634
2026-03-17,Rebounds,OVER,221,160,66,46,61,20,52,0.5,1.5,2.5,3.5,6.5,2.418552036199095,221,0.7239819004524887,0.696969696969697,0.8524590163934426,0.27601809954751133
2026-03-23,Assists,OVER,169,22,41,6,147,35,131,0.5,0.5,1.5,2.5,5.5,1.7366863905325445,169,0.1301775147928994,0.14634146341463414,0.891156462585034,0.8698224852071006
2026-03-23,Points,OVER,429,54,192,24,375,168,349,0.5,3.5,5.5,7.5,14.5,5.2377622377622375,429,0.1258741258741259,0.125,0.9306666666666666,0.8741258741258742
2026-03-23,Rebounds,OVER,221,31,66,9,190,57,169,0.5,1.5,2.5,3.5,6.5,2.418552036199095,221,0.14027149321266968,0.13636363636363635,0.8894736842105263,0.8597285067873304
2026-03-24,Assists,OVER,169,162,41,40,7,1,6,0.5,0.5,1.5,2.5,5.5,1.7366863905325445,169,0.9585798816568047,0.975609756097561,0.8571428571428571,0.04142011834319527
2026-03-24,Points,OVER,429,411,192,183,18,9,18,0.5,3.5,5.5,7.5,14.5,5.2377622377622375,429,0.958041958041958,0.953125,1.0,0.04195804195804196
2026-03-24,Rebounds,OVER,221,215,66,64,6,2,6,0.5,1.5,2.5,3.5,6.5,2.418552036199095,221,0.9728506787330317,0.9696969696969697,1.0,0.027149321266968326
2026-03-25,Assists,OVER,169,73,41,16,96,25,55,0.5,0.5,1.5,2.5,5.5,1.7366863905325445,169,0.4319526627218935,0.3902439024390244,0.5729166666666666,0.5680473372781065
2026-03-25,Points,OVER,429,135,192,61,294,131,147,0.5,3.5,5.5,7.5,14.5,5.2377622377622375,429,0.3146853146853147,0.3177083333333333,0.5,0.6853146853146853
2026-03-25,Rebounds,OVER,221,98,66,34,123,32,47,0.5,1.5,2.5,3.5,6.5,2.418552036199095,221,0.4434389140271493,0.5151515151515151,0.3821138211382114,0.5565610859728507
2026-03-26,Assists,OVER,169,169,41,41,0,0,0,0.5,0.5,1.5,2.5,5.5,1.7366863905325445,169,1.0,1.0,,0.0
2026-03-26,Points,OVER,429,429,192,192,0,0,0,0.5,3.5,5.5,7.5,14.5,5.2377622377622375,429,1.0,1.0,,0.0
2026-03-26,Rebounds,OVER,221,221,66,66,0,0,0,0.5,1.5,2.5,3.5,6.5,2.418552036199095,221,1.0,1.0,,0.0
2026-03-27,Assists,OVER,105,73,35,25,32,10,22,0.5,0.5,0.5,1.5,4.5,1.0238095238095237,105,0.6952380952380952,0.7142857142857143,0.6875,0.3047619047619048
2026-03-27,Assists,UNDER,6,5,6,5,1,1,0,0.5,0.5,0.5,0.5,1.5,0.6666666666666666,6,0.8333333333333334,0.8333333333333334,0.0,0.16666666666666666
2026-03-27,Points,OVER,226,132,158,91,94,67,61,0.5,2.5,3.5,4.5,14.5,3.849557522123894,226,0.584070796460177,0.5759493670886076,0.648936170212766,0.415929203539823
2026-03-27,Points,UNDER,19,19,19,19,0,0,0,3.0,3.5,5.0,6.25,10.5,5.368421052631579,19,1.0,1.0,,0.0
2026-03-27,Rebounds,OVER,104,62,55,27,42,28,31,0.5,0.5,1.5,1.5,4.5,1.5,104,0.5961538461538461,0.4909090909090909,0.7380952380952381,0.40384615384615385
2026-03-27,Rebounds,UNDER,6,6,6,6,0,0,0,0.5,0.75,1.5,2.25,2.5,1.5,6,1.0,1.0,,0.0
2026-03-28,Assists,OVER,11,5,6,3,6,3,6,0.5,0.5,0.5,1.0,2.5,0.8636363636363636,11,0.45454545454545453,0.5,1.0,0.5454545454545454
2026-03-28,Points,OVER,33,13,23,10,20,13,18,0.5,1.5,2.5,4.5,6.5,3.015151515151515,33,0.3939393939393939,0.43478260869565216,0.9,0.6060606060606061
2026-03-28,Points,UNDER,2,2,2,2,0,0,0,5.5,5.75,6.0,6.25,6.5,6.0,2,1.0,1.0,,0.0
2026-03-28,Rebounds,OVER,9,2,5,1,7,4,4,0.5,0.5,1.5,1.5,2.5,1.2777777777777777,9,0.2222222222222222,0.2,0.5714285714285714,0.7777777777777778
2026-03-29,Assists,OVER,84,50,40,22,34,18,25,0.5,0.5,0.5,1.5,6.5,1.0476190476190477,84,0.5952380952380952,0.55,0.7352941176470589,0.40476190476190477
2026-03-29,Assists,UNDER,1,1,1,1,0,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1,1.0,1.0,,0.0
2026-03-29,Points,OVER,234,119,162,76,115,86,75,0.5,2.5,3.5,5.0,11.5,3.9465811965811968,234,0.5085470085470085,0.4691358024691358,0.6521739130434783,0.49145299145299143
2026-03-29,Points,UNDER,18,18,18,18,0,0,0,2.5,3.5,4.5,6.0,8.5,4.861111111111111,18,1.0,1.0,,0.0
2026-03-29,Rebounds,OVER,105,57,47,22,48,25,29,0.5,1.5,1.5,2.5,6.5,1.7952380952380953,105,0.5428571428571428,0.46808510638297873,0.6041666666666666,0.45714285714285713
2026-03-29,Rebounds,UNDER,2,2,2,2,0,0,0,1.5,1.5,1.5,1.5,1.5,1.5,2,1.0,1.0,,0.0
2026-03-30,Assists,OVER,91,40,44,17,51,27,42,0.5,0.5,0.5,1.5,3.5,0.8956043956043956,91,0.43956043956043955,0.38636363636363635,0.8235294117647058,0.5604395604395604
2026-03-30,Assists,UNDER,4,2,4,2,2,2,0,0.5,0.5,1.0,1.75,2.5,1.25,4,0.5,0.5,0.0,0.5
2026-03-30,Points,OVER,213,67,155,43,146,112,102,0.5,2.5,3.5,4.5,11.5,3.568075117370892,213,0.3145539906103286,0.27741935483870966,0.6986301369863014,0.6854460093896714
2026-03-30,Points,UNDER,16,3,16,3,13,13,8,2.5,3.875,5.5,6.625,9.0,5.46875,16,0.1875,0.1875,0.6153846153846154,0.8125
2026-03-30,Rebounds,OVER,105,44,62,26,61,36,40,0.5,0.5,1.5,1.5,3.5,1.3285714285714285,105,0.41904761904761906,0.41935483870967744,0.6557377049180327,0.580952380952381
2026-03-30,Rebounds,UNDER,4,1,4,1,3,3,1,0.5,0.5,1.5,2.5,2.5,1.5,4,0.25,0.25,0.3333333333333333,0.75
2026-03-31,Assists,OVER,89,40,34,10,49,24,40,0.5,0.5,0.5,1.5,4.5,1.0056179775280898,89,0.449438202247191,0.29411764705882354,0.8163265306122449,0.550561797752809
2026-03-31,Assists,UNDER,1,1,1,1,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,1,1.0,1.0,,0.0
2026-03-31,Points,OVER,197,48,144,35,149,109,89,0.5,2.5,3.5,5.0,15.5,3.99492385786802,197,0.2436548223350254,0.24305555555555555,0.5973154362416108,0.7563451776649747
2026-03-31,Points,UNDER,12,4,12,4,8,8,3,2.5,2.875,3.75,5.625,12.5,4.666666666666667,12,0.3333333333333333,0.3333333333333333,0.375,0.6666666666666666
2026-03-31,Rebounds,OVER,89,25,40,12,64,28,32,0.5,0.5,1.5,1.5,4.5,1.5561797752808988,89,0.2808988764044944,0.3,0.5,0.7191011235955056
2026-03-31,Rebounds,UNDER,3,1,3,1,2,2,1,1.5,1.5,1.5,1.5,1.5,1.5,3,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666
2026-04-01,Assists,OVER,89,41,41,18,48,23,40,0.5,0.5,0.5,1.5,6.5,0.9943820224719101,89,0.4606741573033708,0.43902439024390244,0.8333333333333334,0.5393258426966292
2026-04-01,Assists,UNDER,2,1,2,1,1,1,0,0.5,1.0,1.5,2.0,2.5,1.5,2,0.5,0.5,0.0,0.5
2026-04-01,Points,OVER,210,62,153,45,148,108,100,0.5,2.5,3.5,5.375,12.5,3.9642857142857144,210,0.29523809523809524,0.29411764705882354,0.6756756756756757,0.7047619047619048
2026-04-01,Points,UNDER,22,4,22,4,18,18,7,2.5,3.5,4.5,5.5,8.5,4.795454545454546,22,0.18181818181818182,0.18181818181818182,0.3888888888888889,0.8181818181818182
2026-04-01,Rebounds,OVER,110,44,60,21,66,39,45,0.5,0.5,1.5,1.5,7.5,1.4727272727272727,110,0.4,0.35,0.6818181818181818,0.6
2026-04-01,Rebounds,UNDER,2,0,2,0,2,2,0,1.5,1.5,1.5,1.5,1.5,1.5,2,0.0,0.0,0.0,1.0
2026-04-02,Assists,OVER,72,36,30,11,36,19,31,0.5,0.5,0.5,1.5,4.5,0.9583333333333334,72,0.5,0.36666666666666664,0.8611111111111112,0.5
2026-04-02,Assists,UNDER,2,1,2,1,1,1,0,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.0,0.5
2026-04-02,Points,OVER,177,26,120,16,151,104,99,0.5,2.5,3.5,4.5,15.5,3.7937853107344632,177,0.14689265536723164,0.13333333333333333,0.6556291390728477,0.8531073446327684
2026-04-02,Points,UNDER,10,2,10,2,8,8,3,1.5,3.5,4.75,6.375,9.0,4.95,10,0.2,0.2,0.375,0.8
2026-04-02,Rebounds,OVER,87,28,39,16,59,23,37,0.5,0.5,1.5,2.5,4.5,1.5114942528735633,87,0.3218390804597701,0.41025641025641024,0.6271186440677966,0.6781609195402298
2026-04-02,Rebounds,UNDER,1,0,1,0,1,1,0,1.5,1.5,1.5,1.5,1.5,1.5,1,0.0,0.0,0.0,1.0
2026-04-03,Assists,OVER,93,45,42,19,48,23,33,0.5,0.5,0.5,1.5,2.5,0.9193548387096774,93,0.4838709677419355,0.4523809523809524,0.6875,0.5161290322580645
2026-04-03,Assists,UNDER,2,0,2,0,2,2,0,1.5,1.75,2.0,2.25,2.5,2.0,2,0.0,0.0,0.0,1.0
2026-04-03,Points,OVER,201,53,149,34,148,115,103,0.5,2.5,3.5,4.5,9.5,3.472636815920398,201,0.263681592039801,0.22818791946308725,0.6959459459459459,0.736318407960199
2026-04-03,Points,UNDER,12,0,12,0,12,12,9,2.5,3.25,4.5,5.5,8.5,4.666666666666667,12,0.0,0.0,0.75,1.0
2026-04-03,Rebounds,OVER,95,33,56,18,62,38,46,0.5,0.5,1.5,1.5,5.5,1.394736842105263,95,0.3473684210526316,0.32142857142857145,0.7419354838709677,0.6526315789473685
2026-04-03,Rebounds,UNDER,5,1,5,1,4,4,2,1.5,1.5,1.5,1.5,2.5,1.7,5,0.2,0.2,0.5,0.8
2026-04-04,Assists,OVER,36,17,18,7,19,11,15,0.5,0.5,0.5,1.5,5.5,1.0833333333333333,36,0.4722222222222222,0.3888888888888889,0.7894736842105263,0.5277777777777778
2026-04-04,Assists,UNDER,2,0,2,0,2,2,1,1.5,2.0,2.5,3.0,3.5,2.5,2,0.0,0.0,0.5,1.0
2026-04-04,Points,OVER,76,16,59,12,60,47,44,0.5,2.5,3.5,4.5,11.5,3.763157894736842,76,0.21052631578947367,0.2033898305084746,0.7333333333333333,0.7894736842105263
2026-04-04,Points,UNDER,4,0,4,0,4,4,0,3.5,3.875,5.75,7.75,8.5,5.875,4,0.0,0.0,0.0,1.0
2026-04-04,Rebounds,OVER,49,10,25,4,39,21,20,0.5,0.5,1.5,2.5,7.5,1.683673469387755,49,0.20408163265306123,0.16,0.5128205128205128,0.7959183673469388
2026-04-04,Rebounds,UNDER,1,1,1,1,0,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1,1.0,1.0,,0.0
2026-04-05,Assists,OVER,129,51,53,19,78,34,60,0.5,0.5,0.5,1.5,4.5,0.9263565891472868,129,0.3953488372093023,0.3584905660377358,0.7692307692307693,0.6046511627906976
2026-04-05,Assists,UNDER,3,1,3,1,2,2,1,0.5,0.5,0.5,1.0,1.5,0.8333333333333334,3,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666
2026-04-05,Points,OVER,271,62,186,38,209,148,139,0.5,2.5,3.5,4.5,9.5,3.640221402214022,271,0.22878228782287824,0.20430107526881722,0.6650717703349283,0.7712177121771218
2026-04-05,Points,UNDER,16,5,16,5,11,11,4,2.5,4.0,4.75,5.75,9.5,5.125,16,0.3125,0.3125,0.36363636363636365,0.6875
2026-04-05,Rebounds,OVER,128,47,67,24,81,43,48,0.5,0.5,1.5,1.5,4.5,1.453125,128,0.3671875,0.3582089552238806,0.5925925925925926,0.6328125
2026-04-05,Rebounds,UNDER,5,1,5,1,4,4,2,0.5,1.5,1.5,1.5,1.5,1.3,5,0.2,0.2,0.5,0.8
2026-04-06,Assists,OVER,56,20,24,7,36,17,27,0.5,0.5,0.5,1.5,6.5,1.2142857142857142,56,0.35714285714285715,0.2916666666666667,0.75,0.6428571428571429
2026-04-06,Points,OVER,131,35,92,27,96,65,63,0.5,2.5,4.5,5.5,11.5,4.255725190839694,131,0.26717557251908397,0.29347826086956524,0.65625,0.732824427480916
2026-04-06,Points,UNDER,6,0,6,0,6,6,2,2.5,3.625,4.25,4.875,8.5,4.666666666666667,6,0.0,0.0,0.3333333333333333,1.0
