sport,player,prop_type,direction,pick_type,line,edge,rank_score,tier,hit_prob_over,hit_prob_under,hit_prob_selected,hit_prob_actionable,leg_prob_used,prop_quality_score,rank_read_score,data_completeness_score,pick_type_eligible,distribution_std,distribution_n,std_norm,confidence_score,calibration_bucket,calibration_actual_hit_rate,calibration_n,read_fields_missing
MLB,Davis Martin,Pitcher Strikeouts,OVER,Goblin,3.5,4.5,8.41,C,1.0,0.0,1.0,1.0,1.0,0.5679370608411015,0.738,0.8,True,1.9595917942265424,10,0.6310966503689096,0.6110038087021582,,,,"[""confidence_score"", ""calibration_bucket""]"
WNBA,Chelsea Gray,Rebounds,OVER,Goblin,1.5,2.2,8.37,A,1.0,0.0,1.0,1.0,1.0,0.8054745231044493,0.7538666666666666,0.8,True,1.9078784028338915,10,0.4836663746362027,0.7309994894275067,,,,"[""confidence_score"", ""calibration_bucket""]"
Tennis,Taylah Preston,Total Games,OVER,Goblin,18.5,2.5,8.2,D,0.2,0.0,0.2,0.2,0.2,0.4951951733917371,0.28646666666666665,0.9,False,0.0,1,0.0,0.783318310687108,,,,"[""confidence_score""]"
Tennis,Rebeka Masarova,Total Games,OVER,Goblin,19.5,8.5,8.2,D,0.2,0.0,0.2,0.2,0.2,0.5831951733917371,0.39846666666666664,0.9,False,0.0,1,0.0,0.814118310687108,,,,"[""confidence_score""]"
Tennis,Rebeka Masarova,Total Games,OVER,Goblin,18.5,9.5,8.2,D,0.2,0.0,0.2,0.2,0.2,0.5978618400584037,0.41713333333333336,0.9,False,0.0,1,0.0,0.8192516440204414,,,,"[""confidence_score""]"
Tennis,Taylah Preston,Total Games,OVER,Goblin,19.5,1.5,8.2,D,0.2,0.0,0.2,0.2,0.2,0.4805285067250704,0.2678,0.9,False,0.0,1,0.0,0.7781849773537747,,,,"[""confidence_score""]"
MLB,Otto Lopez,Total Bases,OVER,Goblin,0.5,2.5,8.2,C,1.0,0.0,1.0,1.0,1.0,0.538038923391737,0.7006666666666667,0.8,True,1.118033988749895,10,0.4477155255462119,0.6463847418005549,,,,"[""confidence_score"", ""calibration_bucket""]"
Tennis,Joanna Garland,Total Games,OVER,Goblin,20.5,7.5,8.2,D,0.2,0.0,0.2,0.2,0.2,0.5685285067250704,0.3798,0.9,False,0.0,1,0.0,0.8089849773537747,,,,"[""confidence_score""]"
Tennis,Rebeka Masarova,Total Games,OVER,Standard,21.5,6.5,8.2,D,0.2,0.0,0.2,0.2,0.2,0.5538618400584038,0.36113333333333336,0.9,True,0.0,1,0.0,0.8038516440204413,,,,"[""confidence_score""]"
Tennis,Ajla Tomljanovic,Total Games,OVER,Standard,21.5,9.5,8.0,D,0.2,0.0,0.2,0.2,0.2,0.5972814387739805,0.41713333333333336,0.9,True,0.0,1,0.0,0.8190485035708932,,,,"[""confidence_score""]"
Tennis,Victoria Jimenez Kasintseva,Double Faults,OVER,Goblin,3.5,6.5,8.0,D,0.2,0.0,0.2,0.2,0.2,0.5532814387739805,0.36113333333333336,0.9,False,0.0,1,0.0,0.8036485035708932,,,,"[""confidence_score""]"
Tennis,Alexandra Eala,Total Games,OVER,Goblin,16.5,1.5,8.0,D,0.2,0.0,0.2,0.2,0.2,0.4799481054406472,0.2678,0.9,False,0.0,1,0.0,0.7779818369042266,,,,"[""confidence_score""]"
Tennis,Joao Fonseca,Total Games Won,OVER,Goblin,18.5,3.5,8.0,D,0.4,0.0,0.4,0.4,0.4,0.5474707770092747,0.3867333333333333,0.9,False,3.0,2,0.8571428571428571,0.5873290576675319,,,,"[""confidence_score""]"
Tennis,Ajla Tomljanovic,Total Games,OVER,Goblin,18.5,12.5,8.0,D,0.2,0.0,0.2,0.2,0.2,0.6412814387739806,0.4731333333333333,0.9,False,0.0,1,0.0,0.8344485035708933,,,,"[""confidence_score""]"
Tennis,Simona Waltert,Total Games,OVER,Standard,21.5,1.5,8.0,D,0.2,0.0,0.2,0.2,0.2,0.4799481054406472,0.2678,0.9,True,0.0,1,0.0,0.7779818369042266,,,,"[""confidence_score""]"
Tennis,Rafael Jodar,Total Games Won,OVER,Standard,16.5,5.0,8.0,D,0.4,0.0,0.4,0.4,0.4,0.5694707770092747,0.4147333333333333,0.9,True,3.5,2,1.0,0.5593147719532462,,,,"[""confidence_score""]"
Tennis,Rafael Jodar,Total Games Won,OVER,Goblin,11.5,10.0,8.0,D,0.4,0.0,0.4,0.4,0.4,0.642804110342608,0.5080666666666667,0.9,False,3.5,2,1.0,0.5849814386199128,,,,"[""confidence_score""]"
Tennis,Leolia Jeanjean,Total Games,OVER,Standard,20.5,5.5,8.0,D,0.2,0.0,0.2,0.2,0.2,0.5386147721073139,0.34246666666666664,0.9,True,0.0,1,0.0,0.7985151702375599,,,,"[""confidence_score""]"
