sport,n_with_def_tier,baseline_hr,pct_tagged_top_bottom,slice,n,hit_rate,lift_pp,validated
MLB,73858.0,0.2917,15.75,,,,,
MLB,,0.2917,,bottom×tough,1152.0,0.2734,-1.83,neutral
MLB,,0.2917,,top×soft,3426.0,0.3301,3.84,yes
MLB,,0.2917,,bottom×tough_UNDER,41.0,0.5122,22.04,yes
MLB,,0.2917,,top×soft_OVER,3352.0,0.3258,3.4,yes
NBA,15095.0,0.5463,34.2,,,,,
NBA,,0.5463,,bottom×tough,10.0,0.5,-4.63,
NBA,,0.5463,,top×soft,258.0,0.6589,11.26,yes
NBA,,0.5463,,bottom×tough_UNDER,3.0,0.3333,-21.3,
NBA,,0.5463,,top×soft_OVER,221.0,0.6561,10.98,yes
NBA1H,680.0,0.525,52.21,,,,,
NBA1H,,0.525,,top×soft,17.0,0.7059,18.09,yes
NBA1H,,0.525,,top×soft_OVER,10.0,0.8,27.5,
NBA1Q,1748.0,0.5795,46.17,,,,,
NBA1Q,,0.5795,,bottom×tough,7.0,0.4286,-15.09,
NBA1Q,,0.5795,,top×soft,60.0,0.7333,15.38,yes
NBA1Q,,0.5795,,top×soft_OVER,58.0,0.7586,17.91,yes
NHL,5836.0,0.2774,24.04,,,,,
NHL,,0.2774,,bottom×tough,70.0,0.4143,13.69,yes
NHL,,0.2774,,top×soft,107.0,0.4019,12.45,yes
NHL,,0.2774,,top×soft_OVER,105.0,0.4095,13.21,yes
SOCCER,20094.0,0.1441,0.0,,,,,
SOCCER,,0.1383,,all_OVER×soft_DEF,7637.0,0.1385,0.02,neutral
SOCCER,,0.1383,,all_OVER×other_DEF,12235.0,0.1382,-0.01,neutral
SOCCER,,0.6577,,all_UNDER×tough_DEF,77.0,0.5844,-7.32,no
SOCCER,,0.6577,,all_UNDER×other_DEF,145.0,0.6966,3.89,yes
WNBA,5907.0,0.4303,41.09,,,,,
WNBA,,0.4303,,bottom×tough,13.0,0.1538,-27.65,
WNBA,,0.4303,,top×soft,879.0,0.4243,-0.6,neutral
WNBA,,0.4303,,bottom×tough_UNDER,1.0,0.0,-43.03,
WNBA,,0.4303,,top×soft_OVER,735.0,0.415,-1.54,neutral
