date,slice_type,slice_value,track,sport_mix,n_legs,tier_mix,pick_type_mix,decided,paid,cash_rate,leg_hr,void_legs,outage_flag,post_gate_flag,slips_total,slips_void,slips_partial
ALL,by_track,MAIN,MAIN,ALL,ALL,ALL,ALL,17074,2108,0.1235,0.6009,77427,ALL,ALL,53334,28386,7874
ALL,by_track,STRONG_pregame,STRONG_pregame,ALL,ALL,ALL,ALL,181,79,0.4365,0.6591,9,ALL,ALL,216,8,27
ALL,by_track,opt3_shadow,opt3_shadow,ALL,ALL,ALL,ALL,225,92,0.4089,0.6794,9,ALL,ALL,240,9,6
ALL,by_track,STRONG_postgame,STRONG_postgame,ALL,ALL,ALL,ALL,0,0,,,0,ALL,ALL,0,0,0
ALL,by_track_sport,MAIN|MLB-only,MAIN,MLB-only,ALL,ALL,ALL,4927,519,0.1053,0.6206,4075,ALL,ALL,8670,1780,1963
ALL,by_track_sport,MAIN|NBA-only,MAIN,NBA-only,ALL,ALL,ALL,1787,234,0.1309,0.6511,451,ALL,ALL,2526,266,473
ALL,by_track_sport,MAIN|NBA1H-only,MAIN,NBA1H-only,ALL,ALL,ALL,14,14,1.0,0.9464,77,ALL,ALL,54,32,8
ALL,by_track_sport,MAIN|NBA1Q-only,MAIN,NBA1Q-only,ALL,ALL,ALL,54,18,0.3333,0.8283,448,ALL,ALL,209,98,57
ALL,by_track_sport,MAIN|NHL-only,MAIN,NHL-only,ALL,ALL,ALL,305,44,0.1443,0.5356,688,ALL,ALL,566,192,69
ALL,by_track_sport,MAIN|SOCCER-only,MAIN,SOCCER-only,ALL,ALL,ALL,224,52,0.2321,0.6229,0,ALL,ALL,692,0,468
ALL,by_track_sport,MAIN|TENNIS-only,MAIN,TENNIS-only,ALL,ALL,ALL,896,68,0.0759,0.4301,26195,ALL,ALL,8905,7334,675
ALL,by_track_sport,MAIN|WNBA-only,MAIN,WNBA-only,ALL,ALL,ALL,3241,487,0.1503,0.5765,1835,ALL,ALL,5407,1077,1089
ALL,by_track_sport,MAIN|cross-sport,MAIN,cross-sport,ALL,ALL,ALL,5626,672,0.1194,0.6056,43658,ALL,ALL,26305,17607,3072
ALL,by_track_sport,STRONG_pregame|WNBA-only,STRONG_pregame,WNBA-only,ALL,ALL,ALL,181,79,0.4365,0.6591,9,ALL,ALL,216,8,27
ALL,by_track_sport,opt3_shadow|WNBA-only,opt3_shadow,WNBA-only,ALL,ALL,ALL,225,92,0.4089,0.6794,9,ALL,ALL,240,9,6
ALL,by_track_n_legs,MAIN|2-leg,MAIN,ALL,2-leg,ALL,ALL,2548,707,0.2775,0.5063,6574,ALL,ALL,8021,4672,801
ALL,by_track_n_legs,MAIN|3-leg,MAIN,ALL,3-leg,ALL,ALL,1646,244,0.1482,0.5132,8776,ALL,ALL,6244,4007,591
ALL,by_track_n_legs,MAIN|4+ leg,MAIN,ALL,4+ leg,ALL,ALL,12880,1157,0.0898,0.6127,62077,ALL,ALL,39069,19707,6482
ALL,by_track_n_legs,STRONG_pregame|2-leg,STRONG_pregame,ALL,2-leg,ALL,ALL,181,79,0.4365,0.6591,9,ALL,ALL,216,8,27
ALL,by_track_n_legs,opt3_shadow|2-leg,opt3_shadow,ALL,2-leg,ALL,ALL,76,36,0.4737,0.641,4,ALL,ALL,80,4,0
ALL,by_track_n_legs,opt3_shadow|3-leg,opt3_shadow,ALL,3-leg,ALL,ALL,76,25,0.3289,0.661,3,ALL,ALL,80,3,1
ALL,by_track_n_legs,opt3_shadow|4+ leg,opt3_shadow,ALL,4+ leg,ALL,ALL,73,31,0.4247,0.7125,2,ALL,ALL,80,2,5
ALL,by_track_pick_type,MAIN|Goblin-only,MAIN,ALL,ALL,ALL,Goblin-only,6816,902,0.1323,0.6556,10710,ALL,ALL,14497,4807,2874
ALL,by_track_pick_type,MAIN|Standard-only,MAIN,ALL,ALL,ALL,Standard-only,5318,768,0.1444,0.4911,38509,ALL,ALL,22556,14870,2368
ALL,by_track_pick_type,MAIN|mixed,MAIN,ALL,ALL,ALL,mixed,4940,438,0.0887,0.6099,28208,ALL,ALL,16281,8709,2632
ALL,by_track_pick_type,STRONG_pregame|Goblin-only,STRONG_pregame,ALL,ALL,ALL,Goblin-only,181,79,0.4365,0.6591,9,ALL,ALL,216,8,27
ALL,by_track_pick_type,opt3_shadow|Goblin-only,opt3_shadow,ALL,ALL,ALL,Goblin-only,190,83,0.4368,0.6976,9,ALL,ALL,205,9,6
ALL,by_track_pick_type,opt3_shadow|Standard-only,opt3_shadow,ALL,ALL,ALL,Standard-only,26,5,0.1923,0.5085,0,ALL,ALL,26,0,0
ALL,by_track_pick_type,opt3_shadow|mixed,opt3_shadow,ALL,ALL,ALL,mixed,9,4,0.4444,0.6452,0,ALL,ALL,9,0,0
ALL,by_track_tier,MAIN|A-only,MAIN,ALL,ALL,A-only,ALL,2499,412,0.1649,0.6133,15016,ALL,ALL,9125,5423,1203
ALL,by_track_tier,MAIN|B-only,MAIN,ALL,ALL,B-only,ALL,3013,358,0.1188,0.6165,9596,ALL,ALL,8618,4133,1472
ALL,by_track_tier,MAIN|mixed,MAIN,ALL,ALL,mixed,ALL,3631,466,0.1283,0.6276,4789,ALL,ALL,7967,2700,1636
ALL,by_track_tier,MAIN|unknown,MAIN,ALL,ALL,unknown,ALL,7931,872,0.1099,0.5761,48026,ALL,ALL,27624,16130,3563
ALL,by_track_tier,STRONG_pregame|A-only,STRONG_pregame,ALL,ALL,A-only,ALL,128,51,0.3984,0.6281,7,ALL,ALL,158,6,24
ALL,by_track_tier,STRONG_pregame|B-only,STRONG_pregame,ALL,ALL,B-only,ALL,4,4,1.0,1.0,0,ALL,ALL,4,0,0
ALL,by_track_tier,STRONG_pregame|mixed,STRONG_pregame,ALL,ALL,mixed,ALL,49,24,0.4898,0.7184,2,ALL,ALL,54,2,3
ALL,by_track_tier,opt3_shadow|A-only,opt3_shadow,ALL,ALL,A-only,ALL,225,92,0.4089,0.6794,9,ALL,ALL,240,9,6
ALL,by_month,2026-05,ALL,ALL,ALL,ALL,ALL,12233,1262,0.1032,0.5967,59054,ALL,ALL,40256,21805,6218
ALL,by_month,2026-06,ALL,ALL,ALL,ALL,ALL,4011,738,0.184,0.6184,17677,ALL,ALL,11571,6232,1328
ALL,by_month,2026-07,ALL,ALL,ALL,ALL,ALL,1236,279,0.2257,0.6124,714,ALL,ALL,1963,366,361
ALL,by_outage,clean,ALL,ALL,ALL,ALL,ALL,17006,2164,0.1272,0.6014,76405,False,ALL,52843,28011,7826
ALL,by_outage,during_outage,ALL,ALL,ALL,ALL,ALL,474,115,0.2426,0.6026,1040,True,ALL,947,392,81
ALL,by_post_gate,pre_gate,ALL,ALL,ALL,ALL,ALL,17480,2279,0.1304,0.6014,77445,ALL,False,53790,28403,7907
