player,prop,status,match_no_filter,changed_vs_min20,actual_g1,new_g1,old_g1,line
Brittney Griner,reb,OK,True,True,0.0,0.0,6.0,4.5
Sabrina Ionescu,ast,OK,True,True,7.0,7.0,7.0,3.5
Sabrina Ionescu,reb,OK,True,True,5.0,5.0,5.0,3.5
Sabrina Ionescu,fg3m,OK,True,True,2.0,2.0,2.0,1.5
Sabrina Ionescu,pts,OK,True,True,11.0,11.0,11.0,11.5
Brittney Griner,pts,OK,True,True,4.0,4.0,16.0,8.5
A'ja Wilson,reb,OK,True,False,15.0,15.0,15.0,7.5
Paige Bueckers,ast,OK,True,True,2.0,2.0,2.0,3.5
A'ja Wilson,ast,OK,True,False,4.0,4.0,4.0,2.5
Cameron Brink,reb,OK,True,True,8.0,8.0,8.0,5.5
Kelsey Plum,ast,OK,True,False,9.0,9.0,9.0,3.5
Paige Bueckers,pts,OK,True,True,24.0,24.0,24.0,19.5
A'ja Wilson,pts,OK,True,False,24.0,24.0,24.0,15.5
Paige Bueckers,pts,OK,True,True,24.0,24.0,24.0,14.5
Azzi Fudd,pts,OK,True,True,24.0,24.0,24.0,9.5
Jewell Loyd,pts,OK,True,False,10.0,10.0,10.0,9.5
Paige Bueckers,pts,OK,True,True,24.0,24.0,24.0,9.5
Kelsey Plum,pts,OK,True,False,38.0,38.0,38.0,12.5
Cameron Brink,pts,OK,True,True,16.0,16.0,16.0,6.5
Breanna Stewart,pts,OK,True,False,25.0,25.0,25.0,24.5
Sabrina Ionescu,pts,OK,True,True,11.0,11.0,11.0,24.5
Breanna Stewart,pts,OK,True,False,25.0,25.0,25.0,19.5
Sabrina Ionescu,pts,OK,True,True,11.0,11.0,11.0,19.5
Breanna Stewart,pts,OK,True,False,25.0,25.0,25.0,14.5
Sabrina Ionescu,pts,OK,True,True,11.0,11.0,11.0,14.5
Breanna Stewart,reb,OK,True,False,7.0,7.0,7.0,9.5
Sabrina Ionescu,ast,OK,True,True,7.0,7.0,7.0,9.5
Breanna Stewart,reb,OK,True,False,7.0,7.0,7.0,7.5
Sabrina Ionescu,ast,OK,True,True,7.0,7.0,7.0,7.5
Sabrina Ionescu,reb,OK,True,True,5.0,5.0,5.0,7.5
Breanna Stewart,ast,OK,True,False,0.0,0.0,0.0,5.5
Breanna Stewart,reb,OK,True,False,7.0,7.0,7.0,5.5
Sabrina Ionescu,ast,OK,True,True,7.0,7.0,7.0,5.5
Sabrina Ionescu,reb,OK,True,True,5.0,5.0,5.0,5.5
Breanna Stewart,ast,OK,True,False,0.0,0.0,0.0,3.5
Sabrina Ionescu,fg3m,OK,True,True,2.0,2.0,2.0,3.5
Sabrina Ionescu,reb,OK,True,True,5.0,5.0,5.0,3.5
Sabrina Ionescu,fg3m,OK,True,True,2.0,2.0,2.0,2.5
Sabrina Ionescu,fg3m,OK,True,True,2.0,2.0,2.0,1.5
Breanna Stewart,doubledouble,UNSUPPORTED,False,False,,,,0.5
Sabrina Ionescu,doubledouble,UNSUPPORTED,False,False,,,,0.5
Arike Ogunbowale,pa,OK,True,True,24.0,24.0,24.0,29.5
Kelsey Mitchell,pts,OK,True,False,19.0,19.0,19.0,29.5
Arike Ogunbowale,pts,OK,True,True,19.0,19.0,19.0,24.5
Arike Ogunbowale,pa,OK,True,True,24.0,24.0,24.0,24.5
Caitlin Clark,pts,OK,True,False,22.0,22.0,22.0,24.5
Kelsey Mitchell,pts,OK,True,False,19.0,19.0,19.0,24.5
Paige Bueckers,pts,OK,True,True,24.0,24.0,24.0,24.5
Kelsey Mitchell,pts,OK,True,False,19.0,19.0,19.0,20.5
Aliyah Boston,pts,OK,True,False,20.0,20.0,20.0,19.5
Arike Ogunbowale,pts,OK,True,True,19.0,19.0,19.0,19.5
Arike Ogunbowale,pa,OK,True,True,24.0,24.0,24.0,19.5
Azzi Fudd,pts,OK,True,True,24.0,24.0,24.0,19.5
Maddy Siegrist,pts,OK,True,True,2.0,2.0,14.0,19.5
Caitlin Clark,pts,OK,True,False,22.0,22.0,22.0,19.0
Paige Bueckers,pts,OK,True,True,24.0,24.0,24.0,19.0
Azzi Fudd,pts,OK,True,True,24.0,24.0,24.0,17.5
Caitlin Clark,pts,OK,True,False,22.0,22.0,22.0,17.5
Maddy Siegrist,pts,OK,True,True,2.0,2.0,14.0,17.5
Aliyah Boston,pts,OK,True,False,20.0,20.0,20.0,15.5
Arike Ogunbowale,pts,OK,True,True,19.0,19.0,19.0,14.5
Azzi Fudd,pts,OK,True,True,24.0,24.0,24.0,14.5
Caitlin Clark,pts,OK,True,False,22.0,22.0,22.0,14.5
Maddy Siegrist,pts,OK,True,True,2.0,2.0,14.0,14.5
Paige Bueckers,pts,OK,True,True,24.0,24.0,24.0,14.5
Azzi Fudd,pts,OK,True,True,24.0,24.0,24.0,12.5
Aliyah Boston,reb,OK,True,False,16.0,16.0,16.0,11.5
Azzi Fudd,pts,OK,True,True,24.0,24.0,24.0,11.5
Caitlin Clark,ast,OK,True,False,9.0,9.0,9.0,11.5
Maddy Siegrist,pts,OK,True,True,2.0,2.0,14.0,11.5
Aliyah Boston,reb,OK,True,False,16.0,16.0,16.0,9.5
Azzi Fudd,pts,OK,True,True,24.0,24.0,24.0,9.5
Caitlin Clark,ast,OK,True,False,9.0,9.0,9.0,9.5
Maddy Siegrist,pts,OK,True,True,2.0,2.0,14.0,9.5
Caitlin Clark,reb,OK,True,False,2.0,2.0,2.0,8.5
Paige Bueckers,ast,OK,True,True,2.0,2.0,2.0,8.5
Aliyah Boston,reb,OK,True,False,16.0,16.0,16.0,7.5
Arike Ogunbowale,ast,OK,True,False,5.0,5.0,5.0,7.5
Caitlin Clark,ast,OK,True,False,9.0,9.0,9.0,7.5
Caitlin Clark,reb,OK,True,False,2.0,2.0,2.0,7.5
Paige Bueckers,ast,OK,True,True,2.0,2.0,2.0,7.5
Arike Ogunbowale,ast,OK,True,False,5.0,5.0,5.0,6.5
Caitlin Clark,reb,OK,True,False,2.0,2.0,2.0,6.5
Paige Bueckers,ast,OK,True,True,2.0,2.0,2.0,6.5
Paige Bueckers,reb,OK,True,True,6.0,6.0,6.0,6.5
Aliyah Boston,ast,OK,True,False,3.0,3.0,3.0,5.5
Arike Ogunbowale,ast,OK,True,False,5.0,5.0,5.0,5.5
Paige Bueckers,reb,OK,True,True,6.0,6.0,6.0,5.5
Caitlin Clark,fg3m,OK,True,False,4.0,4.0,4.0,4.5
Caitlin Clark,reb,OK,True,False,2.0,2.0,2.0,4.5
Kelsey Mitchell,fg3m,OK,True,False,0.0,0.0,0.0,4.5
Paige Bueckers,ast,OK,True,True,2.0,2.0,2.0,4.5
Arike Ogunbowale,fg3m,OK,True,True,5.0,5.0,5.0,3.5
Arike Ogunbowale,ast,OK,True,False,5.0,5.0,5.0,3.5
Caitlin Clark,fg3m,OK,True,False,4.0,4.0,4.0,3.5
Caitlin Clark,reb,OK,True,False,2.0,2.0,2.0,3.5
Kelsey Mitchell,fg3m,OK,True,False,0.0,0.0,0.0,3.5
Paige Bueckers,ast,OK,True,True,2.0,2.0,2.0,3.5
Paige Bueckers,reb,OK,True,True,6.0,6.0,6.0,3.5
Arike Ogunbowale,fg3m,OK,True,True,5.0,5.0,5.0,2.5
Caitlin Clark,fg3m,OK,True,False,4.0,4.0,4.0,2.5
Paige Bueckers,fg3m,OK,True,True,2.0,2.0,2.0,2.5
Arike Ogunbowale,fg3m,OK,True,True,5.0,5.0,5.0,1.5
Kelsey Mitchell,fg3m,OK,True,False,0.0,0.0,0.0,1.5
Paige Bueckers,fg3m,OK,True,True,2.0,2.0,2.0,1.5
Caitlin Clark,fg3m,OK,True,False,4.0,4.0,4.0,1.5
Aliyah Boston,doubledouble,UNSUPPORTED,False,False,,,,0.5
Paige Bueckers,fg3m,OK,True,True,2.0,2.0,2.0,0.5
A'ja Wilson,pts,OK,True,False,24.0,24.0,24.0,23.5
A'ja Wilson,reb,OK,True,False,15.0,15.0,15.0,10.5
A'ja Wilson,pts,OK,True,False,24.0,24.0,24.0,34.5
A'ja Wilson,pts,OK,True,False,24.0,24.0,24.0,29.5
Jackie Young,pts,OK,True,True,0.0,0.0,0.0,24.5
A'ja Wilson,pts,OK,True,False,24.0,24.0,24.0,19.5
Alyssa Thomas,pts,OK,True,False,20.0,20.0,20.0,19.5
Jackie Young,pts,OK,True,True,0.0,0.0,0.0,19.5
Alyssa Thomas,pts,OK,True,False,20.0,20.0,20.0,17.5
Jackie Young,pts,OK,True,True,0.0,0.0,0.0,14.5
A'ja Wilson,reb,OK,True,False,15.0,15.0,15.0,13.5
A'ja Wilson,reb,OK,True,False,15.0,15.0,15.0,12.5
Alyssa Thomas,reb,OK,True,False,12.0,12.0,12.0,12.5
A'ja Wilson,reb,OK,True,False,15.0,15.0,15.0,11.5
Alyssa Thomas,ast,OK,True,False,7.0,7.0,7.0,11.5
Alyssa Thomas,pts,OK,True,False,20.0,20.0,20.0,11.5
Alyssa Thomas,reb,OK,True,False,12.0,12.0,12.0,11.5
Alyssa Thomas,ast,OK,True,False,7.0,7.0,7.0,10.5
Alyssa Thomas,reb,OK,True,False,12.0,12.0,12.0,10.5
A'ja Wilson,reb,OK,True,False,15.0,15.0,15.0,9.5
Alyssa Thomas,ast,OK,True,False,7.0,7.0,7.0,9.5
A'ja Wilson,reb,OK,True,False,15.0,15.0,15.0,8.5
Alyssa Thomas,reb,OK,True,False,12.0,12.0,12.0,8.5
Alyssa Thomas,ast,OK,True,False,7.0,7.0,7.0,7.5
Alyssa Thomas,reb,OK,True,False,12.0,12.0,12.0,7.5
Jackie Young,ast,OK,True,True,2.0,2.0,7.0,7.5
Alyssa Thomas,ast,OK,True,False,7.0,7.0,7.0,6.5
Alyssa Thomas,reb,OK,True,False,12.0,12.0,12.0,6.5
Jackie Young,ast,OK,True,True,2.0,2.0,7.0,6.5
A'ja Wilson,ast,OK,True,False,4.0,4.0,4.0,5.5
Jackie Young,ast,OK,True,True,2.0,2.0,7.0,5.5
Jackie Young,reb,OK,True,True,3.0,3.0,7.0,5.5
A'ja Wilson,ast,OK,True,False,4.0,4.0,4.0,4.5
A'ja Wilson,ast,OK,True,False,4.0,4.0,4.0,3.5
Jackie Young,fg3m,OK,True,True,0.0,0.0,0.0,3.5
Jackie Young,ast,OK,True,True,2.0,2.0,7.0,3.5
Jackie Young,reb,OK,True,True,3.0,3.0,7.0,3.5
A'ja Wilson,ast,OK,True,False,4.0,4.0,4.0,2.5
Jackie Young,fg3m,OK,True,True,0.0,0.0,0.0,2.5
Jackie Young,fg3m,OK,True,True,0.0,0.0,0.0,1.5
A'ja Wilson,doubledouble,UNSUPPORTED,False,False,,,,0.5
Alyssa Thomas,doubledouble,UNSUPPORTED,False,False,,,,0.5
Alyssa Thomas,tripledouble,UNSUPPORTED,False,False,,,,0.5
