player,team,prop_type,actual,PTS,REB,AST,BLK,STL,TO,FGM,FGA,3PM,3PA,3PT,FTM,FTA,2PM,2PA,OREB,DREB,PF,MIN
Natasha Howard,MIN,Fantasy Score,40.0,26.0,5.0,4.0,3.0,0.0,7.0,11.0,14.0,0.0,0.0,0.0,4.0,6.0,11.0,14.0,4.0,1.0,4.0,35.0
Paige Bueckers,DAL,Fantasy Score,39.6,27.0,3.0,8.0,0.0,0.0,3.0,7.0,13.0,3.0,4.0,3.0,10.0,11.0,4.0,9.0,0.0,3.0,2.0,31.0
Paige Bueckers,DAL,Pts+Rebs+Asts,38.0,27.0,3.0,8.0,0.0,0.0,3.0,7.0,13.0,3.0,4.0,3.0,10.0,11.0,4.0,9.0,0.0,3.0,2.0,31.0
Paige Bueckers,DAL,PRA,38.0,27.0,3.0,8.0,0.0,0.0,3.0,7.0,13.0,3.0,4.0,3.0,10.0,11.0,4.0,9.0,0.0,3.0,2.0,31.0
Courtney Williams,MIN,Fantasy Score,36.5,21.0,5.0,3.0,0.0,2.0,1.0,9.0,10.0,3.0,4.0,3.0,0.0,0.0,6.0,6.0,0.0,5.0,3.0,31.0
Natasha Howard,MIN,Pts+Rebs+Asts,35.0,26.0,5.0,4.0,3.0,0.0,7.0,11.0,14.0,0.0,0.0,0.0,4.0,6.0,11.0,14.0,4.0,1.0,4.0,35.0
Natasha Howard,MIN,PRA,35.0,26.0,5.0,4.0,3.0,0.0,7.0,11.0,14.0,0.0,0.0,0.0,4.0,6.0,11.0,14.0,4.0,1.0,4.0,35.0
Paige Bueckers,DAL,Pts+Asts,35.0,27.0,3.0,8.0,0.0,0.0,3.0,7.0,13.0,3.0,4.0,3.0,10.0,11.0,4.0,9.0,0.0,3.0,2.0,31.0
Nia Coffey,MIN,Fantasy Score,32.1,13.0,8.0,1.0,2.0,1.0,1.0,5.0,6.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0,0.0,8.0,4.0,30.0
Natasha Howard,MIN,Pts+Rebs,31.0,26.0,5.0,4.0,3.0,0.0,7.0,11.0,14.0,0.0,0.0,0.0,4.0,6.0,11.0,14.0,4.0,1.0,4.0,35.0
Paige Bueckers,DAL,Pts+Rebs,30.0,27.0,3.0,8.0,0.0,0.0,3.0,7.0,13.0,3.0,4.0,3.0,10.0,11.0,4.0,9.0,0.0,3.0,2.0,31.0
Breanna Stewart,NY,Pts+Rebs+Asts,30.0,22.0,7.0,1.0,0.0,0.0,2.0,8.0,14.0,1.0,4.0,1.0,5.0,6.0,7.0,10.0,1.0,6.0,3.0,28.0
Breanna Stewart,NY,PRA,30.0,22.0,7.0,1.0,0.0,0.0,2.0,8.0,14.0,1.0,4.0,1.0,5.0,6.0,7.0,10.0,1.0,6.0,3.0,28.0
Natasha Howard,MIN,Pts+Asts,30.0,26.0,5.0,4.0,3.0,0.0,7.0,11.0,14.0,0.0,0.0,0.0,4.0,6.0,11.0,14.0,4.0,1.0,4.0,35.0
Breanna Stewart,NY,Fantasy Score,29.9,22.0,7.0,1.0,0.0,0.0,2.0,8.0,14.0,1.0,4.0,1.0,5.0,6.0,7.0,10.0,1.0,6.0,3.0,28.0
Pauline Astier,NY,Fantasy Score,29.6,20.0,3.0,2.0,0.0,1.0,0.0,7.0,12.0,3.0,6.0,3.0,3.0,4.0,4.0,6.0,0.0,3.0,2.0,22.0
Breanna Stewart,NY,Pts+Rebs,29.0,22.0,7.0,1.0,0.0,0.0,2.0,8.0,14.0,1.0,4.0,1.0,5.0,6.0,7.0,10.0,1.0,6.0,3.0,28.0
Courtney Williams,MIN,PRA,29.0,21.0,5.0,3.0,0.0,2.0,1.0,9.0,10.0,3.0,4.0,3.0,0.0,0.0,6.0,6.0,0.0,5.0,3.0,31.0
Courtney Williams,MIN,Pts+Rebs+Asts,29.0,21.0,5.0,3.0,0.0,2.0,1.0,9.0,10.0,3.0,4.0,3.0,0.0,0.0,6.0,6.0,0.0,5.0,3.0,31.0
