projection_id,pp_projection_id,player_id,pp_game_id,start_time,player,pos,team,opp_team,prop_type,line,standard_line,pick_type,pp_home_team,pp_away_team,image_url
12226129,12226129,87377,160476,2026-05-21T20:00:00.000-04:00,Jalen Brunson,G,NYK,,Fantasy Score,20.5,20.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Jalen_Brunson_NBA_player_yiwlT8GHgktYu1WBoRvjpRr8.webp
12226131,12226131,87349,160476,2026-05-21T20:00:00.000-04:00,Donovan Mitchell,G,CLE,,Fantasy Score,20.0,20.0,Standard,,,https://static.prizepicks.com/images/players/NBA/Donovan_Mitchell_NBA_player_0rXe2XnXarwUqJPvhfPBDUy2.webp
12226132,12226132,216407,160476,2026-05-21T20:00:00.000-04:00,Karl-Anthony Towns,C-F,NYK,,Fantasy Score,20.0,20.0,Standard,,,https://static.prizepicks.com/images/players/NBA/Karl-Anthony_Towns_NBA_player_qsD13lWREH4SgwkL0ZD1D8gt.webp
12206842,12206842,87377,160476,2026-05-21T20:00:00.000-04:00,Jalen Brunson,G,NYK,,Pts+Rebs+Asts,18.5,18.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Jalen_Brunson_NBA_player_yiwlT8GHgktYu1WBoRvjpRr8.webp
12226137,12226137,55095,160476,2026-05-21T20:00:00.000-04:00,Evan Mobley,C,CLE,,Fantasy Score,18.5,18.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Evan_Mobley_NBA_player_V3d2qMMdbw05huQpocNNRwVe.webp
12206832,12206832,87349,160476,2026-05-21T20:00:00.000-04:00,Donovan Mitchell,G,CLE,,Pts+Rebs+Asts,17.5,17.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Donovan_Mitchell_NBA_player_0rXe2XnXarwUqJPvhfPBDUy2.webp
12206862,12206862,216407,160476,2026-05-21T20:00:00.000-04:00,Karl-Anthony Towns,C-F,NYK,,Pts+Rebs+Asts,17.5,17.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Karl-Anthony_Towns_NBA_player_qsD13lWREH4SgwkL0ZD1D8gt.webp
12226138,12226138,299376,160476,2026-05-21T20:00:00.000-04:00,James Harden,G,CLE,,Fantasy Score,16.5,16.5,Standard,,,https://static.prizepicks.com/images/manual/James Harden CLE.png
12226140,12226140,123698,160476,2026-05-21T20:00:00.000-04:00,Josh Hart,G,NYK,,Fantasy Score,15.0,15.0,Standard,,,https://static.prizepicks.com/images/players/NBA/Josh_Hart_NBA_player_H4eKetTATQuBYqjr3k7PBmJd.webp
12206847,12206847,299376,160476,2026-05-21T20:00:00.000-04:00,James Harden,G,CLE,,Pts+Rebs+Asts,14.5,14.5,Standard,,,https://static.prizepicks.com/images/manual/James Harden CLE.png
12226141,12226141,183160,160476,2026-05-21T20:00:00.000-04:00,OG Anunoby,F-G,NYK,,Fantasy Score,14.5,14.5,Standard,,,https://static.prizepicks.com/images/players/NBA/OG_Anunoby_NBA_player_7g4oOE9EMB4tFkaOcu1UCAZ0.webp
12226142,12226142,55097,160476,2026-05-21T20:00:00.000-04:00,Jarrett Allen,C,CLE,,Fantasy Score,14.5,14.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Jarrett_Allen_NBA_player_IBSK04adajN6nXaTEpotn53R.webp
12206830,12206830,87349,160476,2026-05-21T20:00:00.000-04:00,Donovan Mitchell,G,CLE,,Points,13.5,13.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Donovan_Mitchell_NBA_player_0rXe2XnXarwUqJPvhfPBDUy2.webp
12206837,12206837,55095,160476,2026-05-21T20:00:00.000-04:00,Evan Mobley,C,CLE,,Pts+Rebs+Asts,13.5,13.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Evan_Mobley_NBA_player_V3d2qMMdbw05huQpocNNRwVe.webp
12206840,12206840,87377,160476,2026-05-21T20:00:00.000-04:00,Jalen Brunson,G,NYK,,Points,13.5,13.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Jalen_Brunson_NBA_player_yiwlT8GHgktYu1WBoRvjpRr8.webp
12206857,12206857,123698,160476,2026-05-21T20:00:00.000-04:00,Josh Hart,G,NYK,,Pts+Rebs+Asts,12.5,12.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Josh_Hart_NBA_player_H4eKetTATQuBYqjr3k7PBmJd.webp
12226144,12226144,216406,160476,2026-05-21T20:00:00.000-04:00,Mikal Bridges,G-F,NYK,,Fantasy Score,12.5,12.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Mikal_Bridges_NBA_player_GWFvIk1UqZwpQez5aYd322k.webp
12206872,12206872,183160,160476,2026-05-21T20:00:00.000-04:00,OG Anunoby,F-G,NYK,,Pts+Rebs+Asts,11.0,11.0,Standard,,,https://static.prizepicks.com/images/players/NBA/OG_Anunoby_NBA_player_7g4oOE9EMB4tFkaOcu1UCAZ0.webp
12206852,12206852,55097,160476,2026-05-21T20:00:00.000-04:00,Jarrett Allen,C,CLE,,Pts+Rebs+Asts,10.5,10.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Jarrett_Allen_NBA_player_IBSK04adajN6nXaTEpotn53R.webp
12206845,12206845,299376,160476,2026-05-21T20:00:00.000-04:00,James Harden,G,CLE,,Points,9.5,9.5,Standard,,,https://static.prizepicks.com/images/manual/James Harden CLE.png
12206860,12206860,216407,160476,2026-05-21T20:00:00.000-04:00,Karl-Anthony Towns,C-F,NYK,,Points,9.5,9.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Karl-Anthony_Towns_NBA_player_qsD13lWREH4SgwkL0ZD1D8gt.webp
12206867,12206867,216406,160476,2026-05-21T20:00:00.000-04:00,Mikal Bridges,G-F,NYK,,Pts+Rebs+Asts,9.5,9.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Mikal_Bridges_NBA_player_GWFvIk1UqZwpQez5aYd322k.webp
12206835,12206835,55095,160476,2026-05-21T20:00:00.000-04:00,Evan Mobley,C,CLE,,Points,7.5,7.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Evan_Mobley_NBA_player_V3d2qMMdbw05huQpocNNRwVe.webp
12206870,12206870,183160,160476,2026-05-21T20:00:00.000-04:00,OG Anunoby,F-G,NYK,,Points,7.5,7.5,Standard,,,https://static.prizepicks.com/images/players/NBA/OG_Anunoby_NBA_player_7g4oOE9EMB4tFkaOcu1UCAZ0.webp
12206865,12206865,216406,160476,2026-05-21T20:00:00.000-04:00,Mikal Bridges,G-F,NYK,,Points,6.5,6.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Mikal_Bridges_NBA_player_GWFvIk1UqZwpQez5aYd322k.webp
12206850,12206850,55097,160476,2026-05-21T20:00:00.000-04:00,Jarrett Allen,C,CLE,,Points,6.0,6.0,Standard,,,https://static.prizepicks.com/images/players/NBA/Jarrett_Allen_NBA_player_IBSK04adajN6nXaTEpotn53R.webp
12206855,12206855,123698,160476,2026-05-21T20:00:00.000-04:00,Josh Hart,G,NYK,,Points,6.0,6.0,Standard,,,https://static.prizepicks.com/images/players/NBA/Josh_Hart_NBA_player_H4eKetTATQuBYqjr3k7PBmJd.webp
