projection_id,player_id,player_name,team,position,stat_type,line_score,standard_line,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,delta_pct
12075054,218353,Mike Matheson,MTL,D,Time On Ice,25,25.0,standard,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0
12075053,218267,Lane Hutson,MTL,D,Time On Ice,24,24.0,standard,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0
12075057,218218,Rasmus Dahlin,BUF,D,Time On Ice,23,23.0,standard,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0
12075052,218322,Nick Suzuki,MTL,F,Time On Ice,21,21.0,standard,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0
12075055,218653,Alex Tuch,BUF,F,Time On Ice,20.25,20.25,standard,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0
12075056,218270,Tage Thompson,BUF,F,Time On Ice,19.5,19.5,standard,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0
12076814,218322,Nick Suzuki,MTL,F,Faceoffs Won,10.5,10.5,standard,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0
12076815,287948,Phillip Danault,MTL,F,Faceoffs Won,7.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076816,88751,Jake Evans,MTL,F,Faceoffs Won,6.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076817,230933,Josh Norris,BUF,F,Faceoffs Won,6.5,6.5,standard,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0
12076818,215149,Ryan McLeod,BUF,F,Faceoffs Won,6.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12077767,92038,Mattias Samuelsson,BUF,D,Hits,4.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12077768,267797,Joseph Veleno,MTL,F,Hits,4,4.0,standard,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0
12077766,218293,Arber Xhekaj,MTL,D,Hits,3.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12077771,218294,Beck Malenstyn,BUF,F,Hits,3.5,3.5,standard,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0
12077769,175663,Peyton Krebs,BUF,F,Hits,2.5,,goblin,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12077770,87735,Kaiden Guhle,MTL,D,Hits,2.5,,goblin,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12077773,59156,Josh Anderson,MTL,F,Hits,2.5,,goblin,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12077774,173646,Jordan Greenway,BUF,F,Hits,2.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12077775,218653,Alex Tuch,BUF,F,Hits,2.5,2.5,standard,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0
12077776,267720,Zachary Bolduc,MTL,F,Hits,2.5,2.5,standard,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0
12077772,230933,Josh Norris,BUF,F,Hits,1.5,,goblin,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12077777,88751,Jake Evans,MTL,F,Hits,1.5,,goblin,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12077778,218270,Tage Thompson,BUF,F,Hits,1.5,,goblin,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12077779,218366,Kirby Dach,MTL,F,Hits,1.5,1.5,standard,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0
12077780,287948,Phillip Danault,MTL,F,Hits,1.5,,goblin,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12077781,171835,Alex Newhook,MTL,F,Hits,1.5,,goblin,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12077782,218322,Nick Suzuki,MTL,F,Hits,1.5,1.5,standard,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0
12077783,268183,Josh Doan,BUF,F,Hits,1.5,,goblin,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12077784,218237,Juraj Slafkovský,MTL,F,Hits,1.5,,goblin,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12077785,218267,Lane Hutson,MTL,D,Hits,0.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12085421,223068,Jakub Dobes,MTL,G,Goalie Saves,34.5,25.5,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.352941
12085420,223068,Jakub Dobes,MTL,G,Goalie Saves,32.5,25.5,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.27451
12085426,218332,Ukko-Pekka Luukkonen,BUF,G,Goalie Saves,32.5,23.5,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.382979
12085419,223068,Jakub Dobes,MTL,G,Goalie Saves,29.5,25.5,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.156863
12085425,218332,Ukko-Pekka Luukkonen,BUF,G,Goalie Saves,29.5,23.5,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.255319
