projection_id,pp_projection_id,player_id,pp_game_id,league,start_time,player,image_url,pos,team,opp_team,pp_home_team,pp_away_team,prop_type,line,standard_line,pick_type,game_date
12088978,12088978,277611,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Victor Braga,https://static.prizepicks.com/images/manual/Victor%20Braga.png,Goalkeeper,NAJMA,,,,Passes Attempted,25.5,25.5,Standard,2026-05-14
12088994,12088994,317932,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Jorge Fernandes + Samir,https://static.prizepicks.com/images/players/placeholder.png,Defender,FATEH/NAJMA,,,,Clearances (Combo),10.5,10.5,Standard,2026-05-14
12088840,12088840,170481,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Mourad Batna,https://static.prizepicks.com/images/manual/Mourad_Batna.png,Attacker,FATEH,,,,Shots,3.0,3.0,Standard,2026-05-14
12088841,12088841,235431,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Matías Vargas,https://static.prizepicks.com/images/manual/Mat%C3%ADas%20Vargas.png,Midfielder,FATEH,,,,Shots,2.0,2.0,Standard,2026-05-14
12088843,12088843,277613,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Lázaro,https://static.prizepicks.com/images/manual/Lázaro.png,Attacker,NAJMA,,,,Shots,1.5,1.5,Standard,2026-05-14
12088844,12088844,277612,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Bilal Boutobba,https://static.prizepicks.com/images/manual/IMG_6026.png,Attacker,NAJMA,,,,Shots,1.5,1.5,Standard,2026-05-14
12088993,12088993,317932,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Jorge Fernandes + Samir,https://static.prizepicks.com/images/players/placeholder.png,Defender,FATEH/NAJMA,,,,Passes Attempted (Combo),77.5,77.5,Standard,2026-05-14
12010702,12010702,235433,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Zaydou Youssouf,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/soc/low-res/90046166.png,Midfielder,FATEH,,,,Passes Attempted,51.5,51.5,Standard,2026-05-14
12088974,12088974,235436,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Jorge Fernandes,https://static.prizepicks.com/images/manual/Jorge Fernandes.png,Defender,FATEH,,,,Passes Attempted,45.5,45.5,Standard,2026-05-14
12088991,12088991,317930,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Fernando Pacheco + Victor Braga,https://static.prizepicks.com/images/players/placeholder.png,Goalkeeper,FATEH/NAJMA,,,,Passes Attempted (Combo),44.5,44.5,Standard,2026-05-14
12088992,12088992,317931,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Mourad Batna + Felippe Cardoso,https://static.prizepicks.com/images/players/placeholder.png,Attacker,FATEH/NAJMA,,,,Passes Attempted (Combo),38.5,38.5,Standard,2026-05-14
12024901,12024901,289069,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Samir,https://static.prizepicks.com/images/manual/Samir.png,Defender,NAJMA,,,,Passes Attempted,32.5,32.5,Standard,2026-05-14
12010696,12010696,235431,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Matías Vargas,https://static.prizepicks.com/images/manual/Mat%C3%ADas%20Vargas.png,Midfielder,FATEH,,,,Passes Attempted,30.5,30.5,Standard,2026-05-14
12010693,12010693,277613,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Lázaro,https://static.prizepicks.com/images/manual/Lázaro.png,Attacker,NAJMA,,,,Passes Attempted,25.5,25.5,Standard,2026-05-14
12010699,12010699,170481,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Mourad Batna,https://static.prizepicks.com/images/manual/Mourad_Batna.png,Attacker,FATEH,,,,Passes Attempted,21.5,21.5,Standard,2026-05-14
12088973,12088973,271075,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Fernando Pacheco,https://static.prizepicks.com/images/manual/Fernando Pacheco .png,Goalkeeper,FATEH,,,,Passes Attempted,19.5,19.5,Standard,2026-05-14
12023470,12023470,300832,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Felippe Cardoso,https://static.prizepicks.com/images/manual/Felippe_Cardoso.png,Attacker,NAJMA,,,,Passes Attempted,17.5,17.5,Standard,2026-05-14
12088990,12088990,317930,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Fernando Pacheco + Victor Braga,https://static.prizepicks.com/images/players/placeholder.png,Goalkeeper,FATEH/NAJMA,,,,Goalie Saves (Combo),6.0,6.0,Standard,2026-05-14
12088954,12088954,235436,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Jorge Fernandes,https://static.prizepicks.com/images/manual/Jorge Fernandes.png,Defender,FATEH,,,,Clearances,5.5,5.5,Standard,2026-05-14
12088955,12088955,289069,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Samir,https://static.prizepicks.com/images/manual/Samir.png,Defender,NAJMA,,,,Clearances,5.5,5.5,Standard,2026-05-14
12088956,12088956,235431,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Matías Vargas,https://static.prizepicks.com/images/manual/Mat%C3%ADas%20Vargas.png,Midfielder,FATEH,,,,Crosses,4.5,4.5,Standard,2026-05-14
12088837,12088837,277611,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Victor Braga,https://static.prizepicks.com/images/manual/Victor%20Braga.png,Goalkeeper,NAJMA,,,,Goalie Saves,3.5,3.5,Standard,2026-05-14
12024895,12024895,235431,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Matías Vargas,https://static.prizepicks.com/images/manual/Mat%C3%ADas%20Vargas.png,Midfielder,FATEH,,,,Shots On Target,2.5,,Demon,2026-05-14
12024897,12024897,170481,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Mourad Batna,https://static.prizepicks.com/images/manual/Mourad_Batna.png,Attacker,FATEH,,,,Shots On Target,2.5,,Demon,2026-05-14
12088836,12088836,271075,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Fernando Pacheco,https://static.prizepicks.com/images/manual/Fernando Pacheco .png,Goalkeeper,FATEH,,,,Goalie Saves,2.5,2.5,Standard,2026-05-14
12088963,12088963,235433,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Zaydou Youssouf,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/soc/low-res/90046166.png,Midfielder,FATEH,,,,Tackles,2.5,2.5,Standard,2026-05-14
12088964,12088964,175431,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Saeed Baattia,https://static.prizepicks.com/images/manual/Saeed Baattia.png,Defender,FATEH,,,,Tackles,2.5,2.5,Standard,2026-05-14
12089013,12089013,317933,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Mourad Batna + Matías Vargas,https://static.prizepicks.com/images/players/placeholder.png,Attacker,FATEH,,,,Shots On Target (Combo),2.5,2.5,Standard,2026-05-14
12088959,12088959,235431,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Matías Vargas,https://static.prizepicks.com/images/manual/Mat%C3%ADas%20Vargas.png,Midfielder,FATEH,,,,Attempted Dribbles,2.0,2.0,Standard,2026-05-14
12010695,12010695,235431,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Matías Vargas,https://static.prizepicks.com/images/manual/Mat%C3%ADas%20Vargas.png,Midfielder,FATEH,,,,Goals,1.5,,Demon,2026-05-14
12010698,12010698,170481,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Mourad Batna,https://static.prizepicks.com/images/manual/Mourad_Batna.png,Attacker,FATEH,,,,Goals,1.5,,Demon,2026-05-14
12023467,12023467,256794,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Saad Al Sharfa,,Attacker,FATEH,,,,Goals,1.5,,Demon,2026-05-14
12024887,12024887,277612,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Bilal Boutobba,https://static.prizepicks.com/images/manual/IMG_6026.png,Attacker,NAJMA,,,,Shots On Target,1.5,,Demon,2026-05-14
12024891,12024891,277613,151610,SOCCER,2026-05-14T11:55:00.000-04:00,Lázaro,https://static.prizepicks.com/images/manual/Lázaro.png,Attacker,NAJMA,,,,Shots On Target,1.5,,Demon,2026-05-14
