projection_id,player_id,player_name,team,position,stat_type,line_score,standard_line,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,delta_pct,stat_norm,player_role,opponent,is_home,nhl_player_id,combo_prop,combo_player_ids,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_gp,def_rank,def_tier,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,hit_rate_over_L5,over_L5,under_L5,sample_L5,hit_rate_over_L10,over_L10,under_L10,sample_L10,hit_rate_over_L20,over_L20,under_L20,sample_L20,hit_rate_over_season,sample_season,composite_hit_rate,recommended_side,edge,position_code,position_group,scoring_tier,pp_tier,pts_per_game,goals_per_game,pp_pts_per_game,toi_per_game_api
12075054,218353,Mike Matheson,MTL,D,Time On Ice,25,25.0,standard,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0,time_on_ice,SKATER,BUF,0,8476875,False,,2.939,0.0,0.0,3.512,0.0,0.0,82.0,7.0,Elite,25.367,28.783,27.9,23.133,24.6,28.783,22.933,26.267,16.4,25.65,25.957,24.982,24.982,,,,,,,,,OK,0.6,3,2,5,0.6,6,4,10,0.6,6,4,10,0.6,10,0.6,OVER,0.1,D,D,DEPTH,NO_PP,0.474,0.09,0.013,24.17
12075053,218267,Lane Hutson,MTL,D,Time On Ice,24,24.0,standard,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0,time_on_ice,SKATER,BUF,0,8483457,False,,2.939,0.0,0.0,3.512,0.0,0.0,82.0,7.0,Elite,23.45,30.767,23.517,26.25,26.667,32,29,26.133,22.85,26.717,26.13,26.735,26.735,,,,,,,,,OK,0.6,3,2,5,0.7,7,3,10,0.7,7,3,10,0.7,10,0.66,OVER,0.16,D,D,ELITE,PP_REGULAR,0.951,0.146,0.244,23.77
12075057,218218,Rasmus Dahlin,BUF,D,Time On Ice,23,23.0,standard,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0,time_on_ice,SKATER,MTL,1,8480839,False,,3.122,0.0,0.0,3.451,0.0,0.0,82.0,18.0,Avg,23.8,29.017,21.2,23.483,23.467,24.083,20.983,19.783,24.5,23.017,24.193,23.333,23.333,,,,,,,,,OK,0.8,4,1,5,0.7,7,3,10,0.7,7,3,10,0.7,10,0.74,OVER,0.24,D,D,ELITE,PP_REGULAR,0.961,0.247,0.286,24.18
12075052,218322,Nick Suzuki,MTL,F,Time On Ice,21,21.0,standard,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0,time_on_ice,SKATER,BUF,0,8480018,False,,2.939,0.0,0.0,3.512,0.0,0.0,82.0,7.0,Elite,22.8,24.917,20.7,22.383,21.183,25.133,22.967,22.9,18.483,18.883,22.397,22.035,22.035,,,,,,,,,OK,0.8,4,1,5,0.7,7,3,10,0.7,7,3,10,0.7,10,0.74,OVER,0.24,C,F,ELITE,PP1_STAR,1.232,0.354,0.524,20.82
12075055,218653,Alex Tuch,BUF,F,Time On Ice,20.25,20.25,standard,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0,time_on_ice,SKATER,MTL,1,8477949,False,,3.122,0.0,0.0,3.451,0.0,0.0,82.0,18.0,Avg,20.6,23.9,18.583,21.433,21.7,21.667,20.6,21.383,21.267,19.083,21.243,21.022,21.022,,,,,,,,,OK,0.8,4,1,5,0.8,8,2,10,0.8,8,2,10,0.8,10,0.8,OVER,0.3,R,F,SECONDARY,PP_OCC,0.835,0.418,0.114,19.0
12075056,218270,Tage Thompson,BUF,F,Time On Ice,19.5,19.5,standard,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0,time_on_ice,SKATER,MTL,1,8479420,False,,3.122,0.0,0.0,3.451,0.0,0.0,82.0,18.0,Avg,21.9,24.5,19.3,19.267,16.917,20.017,17.517,16.783,22.3,17.933,20.377,19.643,19.643,,,,,,,,,OK,0.4,2,3,5,0.4,4,6,10,0.4,4,6,10,0.4,10,0.4,UNDER,0.1,C,F,ELITE,PP_REGULAR,1.0,0.494,0.296,19.25
12076814,218322,Nick Suzuki,MTL,F,Faceoffs Won,10.5,10.5,standard,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0,faceoffs_won,SKATER,BUF,0,8480018,False,,2.939,0.0,0.0,3.512,0.0,0.0,82.0,7.0,Elite,6,9,9,14,5,13,15,15,6,6,8.6,9.8,9.8,,,,,,,,,OK,0.2,1,4,5,0.4,4,6,10,0.4,4,6,10,0.4,10,0.32,UNDER,0.18,C,F,ELITE,PP1_STAR,1.232,0.354,0.524,20.82
12076815,287948,Phillip Danault,MTL,F,Faceoffs Won,7.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,faceoffs_won,SKATER,BUF,0,8476479,False,,2.939,0.0,0.0,3.512,0.0,0.0,82.0,7.0,Elite,16,7,6,8,1,8,5,5,4,3,7.6,6.3,6.3,,,,,,,,,OK,0.4,2,3,5,0.3,3,7,10,0.3,3,7,10,0.3,10,0.34,OVER,-0.16,C,F,DEPTH,NO_PP,0.267,0.133,0.0,15.07
12076816,88751,Jake Evans,MTL,F,Faceoffs Won,6.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,faceoffs_won,SKATER,BUF,0,8478133,False,,2.939,0.0,0.0,3.512,0.0,0.0,82.0,7.0,Elite,8,7,12,5,8,7,9,3,5,7,8,7.1,7.1,,,,,,,,,OK,0.8,4,1,5,0.7,7,3,10,0.7,7,3,10,0.7,10,0.74,OVER,0.24,C,F,DEPTH,NO_PP,0.353,0.176,0.0,15.35
12076817,230933,Josh Norris,BUF,F,Faceoffs Won,6.5,6.5,standard,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0,faceoffs_won,SKATER,MTL,1,8480064,False,,3.122,0.0,0.0,3.451,0.0,0.0,82.0,18.0,Avg,6,9,8,7,9,9,2,6,,,7.8,7,7,,,,,,,,,OK,0.8,4,1,5,0.625,5,3,8,0.625,5,3,8,0.625,8,0.695,OVER,0.195,C,F,SECONDARY,PP_REGULAR,0.773,0.295,0.205,15.83
