date,n_legs,leg_composition,goblin_deltas,demon_deltas,power_payout_x,flex_payout_x,source,notes\r\n
2026-04-28,6,1S+5G+0D,"6.0,7.0,3.0,2.0,7.5",,5,,screenshot_manual,"PrizePicks slip confirmed from complete ticket screenshots. Power Play shown in app: $20 to pay $100 (5.0x). Legs: Derrick White PRA 20.5 LESS (Standard); De'Aaron Fox Points 11.5 MORE (Goblin); Tyrese Maxey Points 17.5 MORE (Goblin); Paul George Points 11.5 MORE (Goblin); Neemias Queta Points 5.5 MORE (Goblin); Jrue Holiday PRA 19.5 MORE (Goblin). Goblin deltas computed vs nearest NBA Standard OVER line on slate (Fox 17.5, Maxey 24.5, George 14.5, Queta 7.5, Jrue PRA/Pts+Rebs+Asts 27.0). Corrected prior provisional entry that used 35x/8x placeholders."
2026-04-28,6,1S+5G+0D,"6.0,7.0,3.0,2.0,2.0",,6.75,,screenshot_manual,"Second complete ticket from screenshots. Power Play selected with entry $20 and To Win $135 (6.75x shown). Screen also shows 1st place pays 37.5x and minimum guarantee 6.75x. Legs: Derrick White PRA 20.5 LESS (Standard); De'Aaron Fox Points 11.5 MORE (Goblin); Tyrese Maxey Points 17.5 MORE (Goblin); Paul George Points 11.5 MORE (Goblin); Neemias Queta Points 5.5 MORE (Goblin); Quentin Grimes PRA 9.5 MORE (Goblin). Goblin deltas computed vs nearest NBA Standard OVER lines: Fox 6.0, Maxey 7.0, George 3.0, Queta 2.0, Grimes PRA/Pts+Rebs+Asts 2.0."
2026-04-28,3,1S+2G+0D,"4.0,1.0",,2.3,,screenshot_manual,"NHL 3-leg ticket from screenshot. Power Play selected with entry $20 and To Win $46 (2.3x shown in app card). Panel also shows first place pays 6x / minimum guarantee 2.3x. Legs: Jesper Wallstedt Goalie Saves 22.5 MORE (Goblin), Matt Boldy SOGs 2.5 MORE (Goblin), Jake Oettinger Goalie Saves 26.0 MORE (Standard). Goblin deltas approximated from slate standard counterparts: Wallstedt 26.5 -> 22.5 (delta 4.0), Boldy 3.5 -> 2.5 (delta 1.0)."
2026-04-28,3,0S+3G+0D,,,3.5,,screenshot_manual,"NBA reversion 3-leg ticket from screenshot. Power Play selected with entry $20 and To Win $70 (3.5x shown as minimum guarantee; first place shown 6x). Legs: Jalen Suggs Blks+Stls 1.5 MORE (Goblin), Franz Wagner Blks+Stls 1.5 MORE (Goblin), Javonte Green Blks+Stls 1.5 MORE (Goblin). Exact slate line-match/delta extraction pending because these players were not present in current combined slate export snapshot."
2026-04-28,3,3S+0G+0D,,,6,,screenshot_manual,"NBA 3-leg standard ticket from screenshots. Entry $20, To Win $120 (6x). Legs: Joel Embiid Pts+Rebs 35.0 MORE (Standard), Jaylen Brown Pts+Rebs 33.0 MORE (Standard), Jayson Tatum Pts+Rebs 34.0 MORE (Standard)."
2026-04-28,3,2S+1G+0D,5.5,,4,,screenshot_manual,"NBA 3-leg mixed ticket from screenshots. Entry $20, To Win $80 (4x). Legs: Joel Embiid Pts+Rebs 29.5 MORE (Goblin), Jaylen Brown Pts+Rebs 33.0 MORE (Standard), Jayson Tatum Pts+Rebs 34.0 MORE (Standard). Goblin delta computed vs standard Embiid line 35.0 (delta 5.5)."
2026-04-28,3,2S+1G+0D,1.5,,5.5,,screenshot_manual,"NBA 3-leg mixed ticket from screenshots. Entry $20, To Win $110 (5.5x). Legs: Joel Embiid Pts+Rebs 33.5 MORE (Goblin), Jaylen Brown Pts+Rebs 33.0 MORE (Standard), Jayson Tatum Pts+Rebs 34.0 MORE (Standard). Goblin delta computed vs standard Embiid line 35.0 (delta 1.5)."
2026-04-28,3,2S+1G+0D,2.5,,5.25,,screenshot_manual,"NBA 3-leg mixed ticket from screenshots. Entry $20, To Win $105 (5.25x). Legs: Joel Embiid Pts+Rebs 32.5 MORE (Goblin), Jaylen Brown Pts+Rebs 33.0 MORE (Standard), Jayson Tatum Pts+Rebs 34.0 MORE (Standard). Goblin delta computed vs standard Embiid line 35.0 (delta 2.5)."
2026-04-28,3,0S+3G+0D,"5.5,3.5,0.0",,3.25,,screenshot_manual,"NBA 3-leg all-goblin variant from screenshots. Entry $20, To Win $65 (3.25x). Legs: Joel Embiid Pts+Rebs 29.5 MORE, Jaylen Brown Pts+Rebs 29.5 MORE, Jayson Tatum Pts+Rebs 34.0 MORE. Goblin deltas vs slate standard baselines (Embiid 35.0, Brown 33.0, Tatum 34.0): 5.5, 3.5, 0.0."
2026-04-28,3,0S+3G+0D,"1.5,3.5,0.0",,4.25,,screenshot_manual,"NBA 3-leg all-goblin variant from screenshots. Entry $20, To Win $85 (4.25x). Legs: Joel Embiid Pts+Rebs 33.5 MORE, Jaylen Brown Pts+Rebs 29.5 MORE, Jayson Tatum Pts+Rebs 34.0 MORE. Goblin deltas vs slate standard baselines: 1.5, 3.5, 0.0."
2026-04-28,3,0S+3G+0D,"2.5,3.5,0.0",,4,,screenshot_manual,"NBA 3-leg all-goblin variant from screenshots. Entry $20, To Win $80 (4.0x). Legs: Joel Embiid Pts+Rebs 32.5 MORE, Jaylen Brown Pts+Rebs 29.5 MORE, Jayson Tatum Pts+Rebs 34.0 MORE. Goblin deltas vs slate standard baselines: 2.5, 3.5, 0.0."
